Date,State,TotalSamples,Negative,Positive
29/04/2020,Gujarat,59488,55406,4082
30/04/2020,Gujarat,64007,59612,4395
1/05/2020,Gujarat,68774,64053,4721
2/05/2020,Gujarat,74116,69062,5054
3/05/2020,Gujarat,80060,74632,5428
4/05/2020,Gujarat,84648,78844,5804
5/05/2020,Gujarat,89632,83387,6245
6/05/2020,Gujarat,95191,88566,6625
7/05/2020,Gujarat,100553,93540,7013
8/05/2020,Gujarat,105386,97984,7403
9/05/2020,Gujarat,109650,101853,7797
10/05/2020,Gujarat,113493,105298,8195
11/05/2020,Gujarat,116470,107929,8541
12/05/2020,Gujarat,119536,110633,8903
13/05/2020,Gujarat,122297,113029,9268
14/05/2020,Gujarat,124708,115117,9591
15/05/2020,Gujarat,127859,117927,9932
16/05/2020,Gujarat,138407,127418,10989
17/05/2020,Gujarat,143600,132220,11380
18/05/2020,Gujarat,148824,137078,11746
19/05/2020,Gujarat,154674,142533,12141
20/05/2020,Gujarat,160772,148233,12539
21/05/2020,Gujarat,166152,153242,12910
22/05/2020,Gujarat,172562,159289,13273
23/05/2020,Gujarat,178068,164399,13669
24/05/2020,Gujarat,182868,168806,14056
25/05/2020,Gujarat,186361,171893,14468
26/05/2020,Gujarat,189313,,14821
27/05/2020,Gujarat,193863,,15203
28/05/2020,Gujarat,198048,,15572
29/05/2020,Gujarat,201481,,15944
30/05/2020,Gujarat,205780,,16356
31/05/2020,Gujarat,211930,,16794
1/06/2020,Gujarat,216258,,17217
2/06/2020,Gujarat,221610,,17632
3/06/2020,Gujarat,227898,,18117
4/06/2020,Gujarat,233921,,18609
5/06/2020,Gujarat,239911,,19119
6/06/2020,Gujarat,245606,,19617
7/06/2020,Gujarat,251686,,20097
8/06/2020,Gujarat,256289,,20574
9/06/2020,Gujarat,261587,,21044
10/06/2020,Gujarat,266404,,21554
11/06/2020,Gujarat,272924,,22067
12/06/2020,Gujarat,278137,,22562
13/06/2020,Gujarat,283623,,23079
14/06/2020,Gujarat,288565,,23590
15/06/2020,Gujarat,292909,,24104
16/06/2020,Gujarat,296335,,24628
17/06/2020,Gujarat,303671,,25148
3/04/2020,Haryana,1325,938,44
7/04/2020,Haryana,2520,1821,141
8/04/2020,Haryana,2650,1885,153
9/04/2020,Haryana,2964,2017,156
10/04/2020,Haryana,3527,2447,162
11/04/2020,Haryana,3663,2472,165
12/04/2020,Haryana,3903,2513,181
13/04/2020,Haryana,4489,2961,182
14/04/2020,Haryana,5210,3681,184
15/04/2020,Haryana,7388,5581,190
16/04/2020,Haryana,8064,6465,214
17/04/2020,Haryana,8884,7148,223
18/04/2020,Haryana,10454,8093,232
19/04/2020,Haryana,12687,10230,250
20/04/2020,Haryana,13894,11523,251
21/04/2020,Haryana,14562,12253,255
22/04/2020,Haryana,15561,13397,264
23/04/2020,Haryana,17582,15452,270
24/04/2020,Haryana,18845,16642,275
25/04/2020,Haryana,20270,17787,287
26/04/2020,Haryana,21467,19241,296
27/04/2020,Haryana,22993,20702,301
28/04/2020,Haryana,24826,22578,308
29/04/2020,Haryana,26148,24071,311
30/04/2020,Haryana,28202,25929,339
1/05/2020,Haryana,30191,27784,357
2/05/2020,Haryana,31200,28867,369
3/05/2020,Haryana,35278,32583,442
4/05/2020,Haryana,38183,34501,517
5/05/2020,Haryana,40982,36806,548
6/05/2020,Haryana,43279,38590,594
7/05/2020,Haryana,46495,41861,625
8/05/2020,Haryana,49746,43974,647
9/05/2020,Haryana,53282,48468,675
10/05/2020,Haryana,56983,51046,703
11/05/2020,Haryana,59735,53697,730
12/05/2020,Haryana,62377,56440,780
13/05/2020,Haryana,65785,59890,793
14/05/2020,Haryana,69191,63791,818
15/05/2020,Haryana,72326,66687,854
16/05/2020,Haryana,75097,69660,887
17/05/2020,Haryana,78029,72494,910
18/05/2020,Haryana,80698,75045,928
19/05/2020,Haryana,82544,77296,964
20/05/2020,Haryana,83944,78379,970
21/05/2020,Haryana,88138,82372,1031
22/05/2020,Haryana,91119,85317,1067
23/05/2020,Haryana,94035,88051,1131
24/05/2020,Haryana,97006,91138,1184
25/05/2020,Haryana,99987,94725,1213
26/05/2020,Haryana,102018,97350,1305
27/05/2020,Haryana,104747,99555,1381
28/05/2020,Haryana,108031,102260,1504
29/05/2020,Haryana,110940,105169,1721
30/05/2020,Haryana,114683,108385,1923
31/05/2020,Haryana,118138,11709,2091
1/06/2020,Haryana,121779,114792,2356
2/06/2020,Haryana,124564,117340,2652
3/06/2020,Haryana,127895,120393,2954
4/06/2020,Haryana,132575,124769,3281
5/06/2020,Haryana,137452,129027,3597
6/06/2020,Haryana,141688,132684,3952
7/06/2020,Haryana,145722,136555,4448
8/06/2020,Haryana,150220,140081,4854
9/06/2020,Haryana,153692,143513,5209
10/06/2020,Haryana,158470,147453,5438
11/06/2020,Haryana,162967,151060,5968
12/06/2020,Haryana,167501,155395,6334
13/06/2020,Haryana,171560,159333,6749
14/06/2020,Haryana,185722,172678,7208
15/06/2020,Haryana,189914,176741,7722
16/06/2020,Haryana,193421,180051,8272
17/06/2020,Haryana,197703,183395,8832
18/06/2020,Haryana,202808,187303,9218
10/04/2020,Himachal Pradesh,900,870,30
11/04/2020,Himachal Pradesh,900,870,30
12/04/2020,Himachal Pradesh,1113,944,32
13/04/2020,Himachal Pradesh,1210,1109,32
14/04/2020,Himachal Pradesh,1311,1232,32
15/04/2020,Himachal Pradesh,1426,1391,35
16/04/2020,Himachal Pradesh,1604,1559,35
17/04/2020,Himachal Pradesh,1992,1740,36
18/04/2020,Himachal Pradesh,2207,2091,39
19/04/2020,Himachal Pradesh,2553,2337,39
20/04/2020,Himachal Pradesh,2892,2714,39
21/04/2020,Himachal Pradesh,3341,2933,39
22/04/2020,Himachal Pradesh,3700,3510,39
23/04/2020,Himachal Pradesh,4020,3943,40
24/04/2020,Himachal Pradesh,4328,4160,40
25/04/2020,Himachal Pradesh,4623,4363,40
26/04/2020,Himachal Pradesh,4901,4794,40
27/04/2020,Himachal Pradesh,5106,5022,40
28/04/2020,Himachal Pradesh,5391,5344,40
29/04/2020,Himachal Pradesh,5772,5726,40
30/04/2020,Himachal Pradesh,6133,6091,40
1/05/2020,Himachal Pradesh,6472,6432,40
2/05/2020,Himachal Pradesh,6836,6791,40
3/05/2020,Himachal Pradesh,7185,7133,40
4/05/2020,Himachal Pradesh,7430,7320,41
5/05/2020,Himachal Pradesh,7893,7800,42
6/05/2020,Himachal Pradesh,8491,8055,43
7/05/2020,Himachal Pradesh,9005,8833,46
8/05/2020,Himachal Pradesh,9522,9434,50
9/05/2020,Himachal Pradesh,10208,10047,52
10/05/2020,Himachal Pradesh,10791,10343,55
11/05/2020,Himachal Pradesh,11267,11016,59
12/05/2020,Himachal Pradesh,12224,11846,66
13/05/2020,Himachal Pradesh,13190,12867,67
14/05/2020,Himachal Pradesh,14256,13307,70
15/05/2020,Himachal Pradesh,15557,15076,76
16/05/2020,Himachal Pradesh,16534,16079,78
17/05/2020,Himachal Pradesh,17417,17049,80
18/05/2020,Himachal Pradesh,18224,17946,90
19/05/2020,Himachal Pradesh,19645,18994,92
20/05/2020,Himachal Pradesh,21147,20449,110
21/05/2020,Himachal Pradesh,22641,21812,152
22/05/2020,Himachal Pradesh,24246,23307,168
23/05/2020,Himachal Pradesh,25905,24625,185
24/05/2020,Himachal Pradesh,27288,26524,203
25/05/2020,Himachal Pradesh,28346,27596,223
26/05/2020,Himachal Pradesh,29379,28989,247
27/05/2020,Himachal Pradesh,30852,30019,273
28/05/2020,Himachal Pradesh,32449,31655,281
29/05/2020,Himachal Pradesh,33979,33486,295
30/05/2020,Himachal Pradesh,35668,34933,313
31/05/2020,Himachal Pradesh,37168,36618,331
1/06/2020,Himachal Pradesh,37897,37233,340
2/06/2020,Himachal Pradesh,39620,38993,345
3/06/2020,Himachal Pradesh,41351,40621,359
4/06/2020,Himachal Pradesh,42703,42081,383
5/06/2020,Himachal Pradesh,43688,43149,393
6/06/2020,Himachal Pradesh,44509,43942,400
7/06/2020,Himachal Pradesh,45888,45254,411
8/06/2020,Himachal Pradesh,46416,45956,421
9/06/2020,Himachal Pradesh,47655,46541,437
10/06/2020,Himachal Pradesh,48922,48123,451
11/06/2020,Himachal Pradesh,50222,49465,470
12/06/2020,Himachal Pradesh,51420,50793,486
13/06/2020,Himachal Pradesh,52737,51106,493
14/06/2020,Himachal Pradesh,53946,53301,518
15/06/2020,Himachal Pradesh,54484,53923,556
16/06/2020,Himachal Pradesh,56106,55333,560
17/06/2020,Himachal Pradesh,57479,56861,585
18/06/2020,Himachal Pradesh,59214,58063,595
5/04/2020,Jammu and Kashmir,1551,1429,106
10/04/2020,Jammu and Kashmir,2961,2754,207
11/04/2020,Jammu and Kashmir,3206,2982,224
12/04/2020,Jammu and Kashmir,3600,3355,245
13/04/2020,Jammu and Kashmir,4065,3795,270
14/04/2020,Jammu and Kashmir,4619,4341,278
15/04/2020,Jammu and Kashmir,5171,4871,300
16/04/2020,Jammu and Kashmir,5680,5366,314
17/04/2020,Jammu and Kashmir,6438,6110,328
18/04/2020,Jammu and Kashmir,6937,6596,341
19/04/2020,Jammu and Kashmir,7895,7545,350
20/04/2020,Jammu and Kashmir,8612,8244,368
21/04/2020,Jammu and Kashmir,9220,8840,380
22/04/2020,Jammu and Kashmir,10039,9632,407
23/04/2020,Jammu and Kashmir,10977,10550,427
24/04/2020,Jammu and Kashmir,11764,11310,454
25/04/2020,Jammu and Kashmir,12835,12341,494
26/04/2020,Jammu and Kashmir,13959,13436,523
27/04/2020,Jammu and Kashmir,14988,14442,546
28/04/2020,Jammu and Kashmir,16619,16054,565
29/04/2020,Jammu and Kashmir,18450,17869,581
30/04/2020,Jammu and Kashmir,19746,19132,614
1/05/2020,Jammu and Kashmir,21695,21056,639
2/05/2020,Jammu and Kashmir,23406,22794,666
3/05/2020,Jammu and Kashmir,26038,25337,701
4/05/2020,Jammu and Kashmir,28199,27473,726
5/05/2020,Jammu and Kashmir,31312,30571,741
6/05/2020,Jammu and Kashmir,34277,33502,775
7/05/2020,Jammu and Kashmir,37706,36913,793
8/05/2020,Jammu and Kashmir,42427,41604,823
9/05/2020,Jammu and Kashmir,44753,43917,836
10/05/2020,Jammu and Kashmir,47080,46291,861
11/05/2020,Jammu and Kashmir,51334,50455,879
12/05/2020,Jammu and Kashmir,53726,52792,934
13/05/2020,Jammu and Kashmir,57111,56140,971
14/05/2020,Jammu and Kashmir,63515,62532,983
15/05/2020,Jammu and Kashmir,70306,69293,1013
16/05/2020,Jammu and Kashmir,76191,75070,1121
17/05/2020,Jammu and Kashmir,80934,79751,1183
18/05/2020,Jammu and Kashmir,88601,87312,1289
19/05/2020,Jammu and Kashmir,96826,95509,1317
20/05/2020,Jammu and Kashmir,101950,100560,1390
21/05/2020,Jammu and Kashmir,107108,105659,1449
22/05/2020,Jammu and Kashmir,114859,113370,1489
23/05/2020,Jammu and Kashmir,124074,122505,1569
24/05/2020,Jammu and Kashmir,130433,128812,1621
25/05/2020,Jammu and Kashmir,134188,132520,1668
26/05/2020,Jammu and Kashmir,140962,139203,1759
27/05/2020,Jammu and Kashmir,145162,143241,1921
28/05/2020,Jammu and Kashmir,153522,151486,2036
29/05/2020,Jammu and Kashmir,158729,156565,2164
30/05/2020,Jammu and Kashmir,164581,162240,2341
31/05/2020,Jammu and Kashmir,171045,168599,2446
1/06/2020,Jammu and Kashmir,176309,173708,2601
2/06/2020,Jammu and Kashmir,183067,180349,2718
3/06/2020,Jammu and Kashmir,189364,186507,2857
4/06/2020,Jammu and Kashmir,195677,192535,3142
5/06/2020,Jammu and Kashmir,202257,198933,3324
6/06/2020,Jammu and Kashmir,211880,208413,3467
7/06/2020,Jammu and Kashmir,218481,214394,4087
8/06/2020,Jammu and Kashmir,227906,223621,4285
9/06/2020,Jammu and Kashmir,235816,231470,4346
10/06/2020,Jammu and Kashmir,241891,237384,4507
11/06/2020,Jammu and Kashmir,247267,242693,4574
12/06/2020,Jammu and Kashmir,254059,249329,4730
13/06/2020,Jammu and Kashmir,260098,255220,4878
14/06/2020,Jammu and Kashmir,266163,261122,5041
15/06/2020,Jammu and Kashmir,271416,266196,5220
16/06/2020,Jammu and Kashmir,276174,270876,5298
17/06/2020,Jammu and Kashmir,282268,276862,5406
18/06/2020,Jammu and Kashmir,289027,283472,5555
10/04/2020,Jharkhand,1340,1326,14
11/04/2020,Jharkhand,1546,1529,17
12/04/2020,Jharkhand,1683,1666,17
13/04/2020,Jharkhand,1982,1963,19
14/04/2020,Jharkhand,2334,2307,27
17/04/2020,Jharkhand,3143,3111,32
18/04/2020,Jharkhand,3431,3398,33
19/04/2020,Jharkhand,3646,3608,38
20/04/2020,Jharkhand,4235,4190,45
22/04/2020,Jharkhand,5176,5127,49
23/04/2020,Jharkhand,5380,5327,53
24/04/2020,Jharkhand,6162,6105,57
25/04/2020,Jharkhand,6970,6903,67
26/04/2020,Jharkhand,7806,7724,82
27/04/2020,Jharkhand,8757,8654,103
28/04/2020,Jharkhand,9408,9303,105
29/04/2020,Jharkhand,10268,10161,107
30/04/2020,Jharkhand,10987,10878,109
1/05/2020,Jharkhand,11771,11658,113
2/05/2020,Jharkhand,12393,12278,115
3/05/2020,Jharkhand,13055,12940,115
4/05/2020,Jharkhand,13832,13717,115
5/05/2020,Jharkhand,15064,14939,125
6/05/2020,Jharkhand,15908,15799,127
7/05/2020,Jharkhand,17101,16969,132
8/05/2020,Jharkhand,17219,17087,132
9/05/2020,Jharkhand,18632,18478,154
10/05/2020,Jharkhand,20832,20675,157
11/05/2020,Jharkhand,21201,21041,160
12/05/2020,Jharkhand,22815,22651,164
13/05/2020,Jharkhand,25769,25592,177
14/05/2020,Jharkhand,27789,27592,197
15/05/2020,Jharkhand,29236,29025,211
16/05/2020,Jharkhand,31025,30808,217
17/05/2020,Jharkhand,33220,32997,223
18/05/2020,Jharkhand,35359,35131,228
19/05/2020,Jharkhand,37589,37341,248
20/05/2020,Jharkhand,39402,39121,281
21/05/2020,Jharkhand,41936,41633,303
22/05/2020,Jharkhand,43988,43665,323
23/05/2020,Jharkhand,45785,45435,350
24/05/2020,Jharkhand,48641,48271,370
25/05/2020,Jharkhand,50709,50304,405
26/05/2020,Jharkhand,53309,52883,426
27/05/2020,Jharkhand,55427,54969,458
28/05/2020,Jharkhand,57250,56781,469
29/05/2020,Jharkhand,59452,58931,521
30/05/2020,Jharkhand,62916,62353,563
31/05/2020,Jharkhand,65886,65256,610
1/06/2020,Jharkhand,69187,68526,661
2/06/2020,Jharkhand,71296,70584,712
3/06/2020,Jharkhand,74499,73735,764
4/06/2020,Jharkhand,77641,76814,827
5/06/2020,Jharkhand,80097,79175,922
6/06/2020,Jharkhand,84444,83416,1028
7/06/2020,Jharkhand,87721,86618,1103
8/06/2020,Jharkhand,92325,91035,1290
9/06/2020,Jharkhand,95099,93683,1416
10/06/2020,Jharkhand,95500,94077,1423
11/06/2020,Jharkhand,99931,98332,1599
12/06/2020,Jharkhand,102092,100436,1656
13/06/2020,Jharkhand,103905,102194,1711
14/06/2020,Jharkhand,106104,104343,1761
15/06/2020,Jharkhand,108576,106783,1793
16/06/2020,Jharkhand,110813,108974,1839
17/06/2020,Jharkhand,113004,111109,1895
18/06/2020,Jharkhand,115186,113267,1919
3/04/2020,Karnataka,4587,4281,128
7/04/2020,Karnataka,6580,5942,175
8/04/2020,Karnataka,6967,6473,181
9/04/2020,Karnataka,7613,7176,197
10/04/2020,Karnataka,7975,7673,207
11/04/2020,Karnataka,8560,8231,215
12/04/2020,Karnataka,9251,8831,232
13/04/2020,Karnataka,10017,9572,247
14/04/2020,Karnataka,11107,10554,260
15/04/2020,Karnataka,12483,11905,279
16/04/2020,Karnataka,13724,13074,315
17/04/2020,Karnataka,17594,14606,359
18/04/2020,Karnataka,19186,15658,384
19/04/2020,Karnataka,21367,17662,390
20/04/2020,Karnataka,23460,19497,408
21/04/2020,Karnataka,26233,22222,418
22/04/2020,Karnataka,29512,25424,427
23/04/2020,Karnataka,32122,28174,445
24/04/2020,Karnataka,35958,31914,474
25/04/2020,Karnataka,39083,34888,500
26/04/2020,Karnataka,42964,38207,503
27/04/2020,Karnataka,45685,43791,512
28/04/2020,Karnataka,50512,48508,523
29/04/2020,Karnataka,55404,53241,535
30/04/2020,Karnataka,60156,57548,565
1/05/2020,Karnataka,64898,61855,589
2/05/2020,Karnataka,69730,66475,601
3/05/2020,Karnataka,74898,70998,614
4/05/2020,Karnataka,79193,74664,651
5/05/2020,Karnataka,83806,78860,673
6/05/2020,Karnataka,88777,83056,693
7/05/2020,Karnataka,93535,87756,705
8/05/2020,Karnataka,98081,92237,753
9/05/2020,Karnataka,103098,97326,794
10/05/2020,Karnataka,107311,102266,848
11/05/2020,Karnataka,111595,106467,862
12/05/2020,Karnataka,116533,111264,925
13/05/2020,Karnataka,121178,119420,959
14/05/2020,Karnataka,128373,126766,987
15/05/2020,Karnataka,133724,132074,1056
16/05/2020,Karnataka,140024,138216,1092
17/05/2020,Karnataka,145398,143444,1147
18/05/2020,Karnataka,151663,149566,1246
19/05/2020,Karnataka,158599,156247,1395
20/05/2020,Karnataka,166781,164199,1462
21/05/2020,Karnataka,174297,171484,1605
22/05/2020,Karnataka,186526,183088,1743
23/05/2020,Karnataka,196196,192127,1959
24/05/2020,Karnataka,206313,201978,2089
25/05/2020,Karnataka,219894,215308,2182
26/05/2020,Karnataka,228914,223477,2283
27/05/2020,Karnataka,241608,235876,2418
28/05/2020,Karnataka,252078,246115,2533
29/05/2020,Karnataka,264489,258130,2781
30/05/2020,Karnataka,280217,273404,2922
31/05/2020,Karnataka,293575,286245,3221
1/06/2020,Karnataka,304816,297052,3408
2/06/2020,Karnataka,319628,310967,3796
3/06/2020,Karnataka,334825,325686,4063
4/06/2020,Karnataka,347093,337154,4320
5/06/2020,Karnataka,360720,349951,4835
6/06/2020,Karnataka,372582,361382,5213
7/06/2020,Karnataka,384442,372399,5452
8/06/2020,Karnataka,393221,380630,5760
9/06/2020,Karnataka,400257,387027,5921
10/06/2020,Karnataka,408506,394603,6041
11/06/2020,Karnataka,416506,402105,6245
12/06/2020,Karnataka,426341,411244,6516
13/06/2020,Karnataka,436518,420773,6824
14/06/2020,Karnataka,443969,427608,7000
15/06/2020,Karnataka,449331,432346,7213
16/06/2020,Karnataka,457267,439654,7530
17/06/2020,Karnataka,464798,446448,7734
18/06/2020,Karnataka,473507,454476,7944
1/04/2020,Kerala,7965,7256,265
2/04/2020,Kerala,8456,7622,286
3/04/2020,Kerala,9139,8126,295
4/04/2020,Kerala,9744,8586,306
5/04/2020,Kerala,10221,9300,314
6/04/2020,Kerala,10716,9607,327
7/04/2020,Kerala,11232,10250,336
8/04/2020,Kerala,11986,10906,354
9/04/2020,Kerala,12710,11469,357
10/04/2020,Kerala,13339,12335,364
11/04/2020,Kerala,14163,12818,373
12/04/2020,Kerala,14989,13802,375
13/04/2020,Kerala,15683,14829,378
14/04/2020,Kerala,16235,15488,386
15/04/2020,Kerala,16475,16002,387
16/04/2020,Kerala,17400,16459,394
17/04/2020,Kerala,18029,17279,395
18/04/2020,Kerala,18774,17763,399
19/04/2020,Kerala,19351,18547,401
20/04/2020,Kerala,19756,19074,408
21/04/2020,Kerala,20252,19442,426
22/04/2020,Kerala,20821,19998,437
23/04/2020,Kerala,21334,20326,447
24/04/2020,Kerala,21940,20830,450
25/04/2020,Kerala,22360,21475,457
26/04/2020,Kerala,22954,21997,468
27/04/2020,Kerala,24146,23148,481
28/04/2020,Kerala,24855,24078,485
29/04/2020,Kerala,25827,24681,495
30/04/2020,Kerala,27481,26032,497
1/05/2020,Kerala,29012,27224,497
2/05/2020,Kerala,33276,31592,499
3/05/2020,Kerala,34608,33294,499
4/05/2020,Kerala,35441,34161,499
5/05/2020,Kerala,36312,35244,502
6/05/2020,Kerala,37546,36210,502
7/05/2020,Kerala,38206,36856,502
8/05/2020,Kerala,39266,38294,503
9/05/2020,Kerala,40123,39233,505
10/05/2020,Kerala,41279,40155,512
11/05/2020,Kerala,41700,40889,512
12/05/2020,Kerala,42461,41621,524
13/05/2020,Kerala,43648,42574,534
14/05/2020,Kerala,45039,43868,560
15/05/2020,Kerala,46831,45063,576
16/05/2020,Kerala,48433,46458,587
17/05/2020,Kerala,50036,47964,601
18/05/2020,Kerala,51059,49763,630
19/05/2020,Kerala,52588,50867,642
20/05/2020,Kerala,54633,52689,666
21/05/2020,Kerala,56373,54541,690
22/05/2020,Kerala,58382,56165,733
23/05/2020,Kerala,60443,58192,795
24/05/2020,Kerala,61900,59943,848
25/05/2020,Kerala,63009,61698,897
26/05/2020,Kerala,65303,63010,964
27/05/2020,Kerala,67961,65099,1004
28/05/2020,Kerala,70622,67677,1089
29/05/2020,Kerala,74214,71083,1151
30/05/2020,Kerala,77257,73775,1209
31/05/2020,Kerala,77508,75697,1270
1/06/2020,Kerala,82449,78310,1327
2/06/2020,Kerala,86169,81157,1413
3/06/2020,Kerala,95348,84870,1495
4/06/2020,Kerala,99692,87403,1589
5/06/2020,Kerala,104045,92818,1700
6/06/2020,Kerala,107796,97114,1808
7/06/2020,Kerala,111930,100319,1915
8/06/2020,Kerala,113956,103472,2006
9/06/2020,Kerala,126088,111892,2097
10/06/2020,Kerala,131006,116425,2162
11/06/2020,Kerala,135974,130857,2245
12/06/2020,Kerala,140457,134743,2323
13/06/2020,Kerala,144842,,2408
14/06/2020,Kerala,149164,,2462
15/06/2020,Kerala,151686,,2544
16/06/2020,Kerala,157117,,2623
17/06/2020,Kerala,161829,,2698
18/06/2020,Kerala,169035,,2795
13/04/2020,Ladakh,618,,17
14/04/2020,Ladakh,760,615,17
15/04/2020,Ladakh,820,657,18
16/04/2020,Ladakh,917,695,18
19/04/2020,Ladakh,991,797,18
21/04/2020,Ladakh,1137,896,18
29/04/2020,Ladakh,1949,1299,22
30/04/2020,Ladakh,2245,1384,22
1/05/2020,Ladakh,2430,1545,22
2/05/2020,Ladakh,2434,1618,23
3/05/2020,Ladakh,2434,1674,41
4/05/2020,Ladakh,2639,1879,41
9/05/2020,Ladakh,3503,2948,42
13/05/2020,Ladakh,3683,3353,43
16/05/2020,Ladakh,4067,3571,43
18/05/2020,Ladakh,4219,3791,43
19/05/2020,Ladakh,4730,3935,43
21/05/2020,Ladakh,5291,4081,44
22/05/2020,Ladakh,5505,4173,44
23/05/2020,Ladakh,5727,4505,49
24/05/2020,Ladakh,5730,4733,52
25/05/2020,Ladakh,5896,4894,53
30/05/2020,Ladakh,7354,6145,74
31/05/2020,Ladakh,7354,6167,77
2/06/2020,Ladakh,8310,6465,81
5/06/2020,Ladakh,9754,7204,97
6/06/2020,Ladakh,10164,7214,99
9/06/2020,Ladakh,10249,7888,108
11/06/2020,Ladakh,10855,8222,135
12/06/2020,Ladakh,10986,8460,239
13/06/2020,Ladakh,11135,8814,437
14/06/2020,Ladakh,11135,9087,539
15/06/2020,Ladakh,11260,9456,555
16/06/2020,Ladakh,11537,9660,649
17/06/2020,Ladakh,11626,9833,687
18/06/2020,Ladakh,12082,9901,687
5/04/2020,Madhya Pradesh,2812,1954,193
7/04/2020,Madhya Pradesh,3770,3125,290
8/04/2020,Madhya Pradesh,4056,3443,341
9/04/2020,Madhya Pradesh,5135,3989,411
10/04/2020,Madhya Pradesh,7049,4840,451
11/04/2020,Madhya Pradesh,8516,5790,529
12/04/2020,Madhya Pradesh,10481,6875,562
13/04/2020,Madhya Pradesh,10481,6875,614
14/04/2020,Madhya Pradesh,8105,7103,741
15/04/2020,Madhya Pradesh,9596,8658,938
16/04/2020,Madhya Pradesh,13492,12326,1164
17/04/2020,Madhya Pradesh,15302,13992,1310
18/04/2020,Madhya Pradesh,14978,13576,1402
19/04/2020,Madhya Pradesh,17835,16428,1407
20/04/2020,Madhya Pradesh,19142,17657,1485
21/04/2020,Madhya Pradesh,20905,19353,1552
22/04/2020,Madhya Pradesh,22664,21077,1587
23/04/2020,Madhya Pradesh,24548,22861,1687
24/04/2020,Madhya Pradesh,26233,24387,1846
25/04/2020,Madhya Pradesh,27866,25921,1945
26/04/2020,Madhya Pradesh,25232,21716,2090
27/04/2020,Madhya Pradesh,27009,23500,2165
28/04/2020,Madhya Pradesh,31060,26159,2387
29/04/2020,Madhya Pradesh,33837,29261,2560
30/04/2020,Madhya Pradesh,41712,29816,2625
1/05/2020,Madhya Pradesh,44116,39353,2715
2/05/2020,Madhya Pradesh,46578,41460,2788
3/05/2020,Madhya Pradesh,49186,43937,2837
4/05/2020,Madhya Pradesh,52095,46634,2942
5/05/2020,Madhya Pradesh,54595,48931,3049
6/05/2020,Madhya Pradesh,54595,51479,3138
7/05/2020,Madhya Pradesh,61020,55002,3252
8/05/2020,Madhya Pradesh,63705,57528,3341
9/05/2020,Madhya Pradesh,68010,61629,3457
10/05/2020,Madhya Pradesh,72069,65436,3614
11/05/2020,Madhya Pradesh,76039,69187,3785
12/05/2020,Madhya Pradesh,80885,73761,3986
13/05/2020,Madhya Pradesh,85903,77738,4173
14/05/2020,Madhya Pradesh,89760,82028,4426
15/05/2020,Madhya Pradesh,93849,85879,4595
16/05/2020,Madhya Pradesh,99677,91393,4790
17/05/2020,Madhya Pradesh,103898,95355,4977
18/05/2020,Madhya Pradesh,112168,100469,5236
19/05/2020,Madhya Pradesh,116473,104348,5465
20/05/2020,Madhya Pradesh,120737,108744,5735
21/05/2020,Madhya Pradesh,125608,112947,5981
22/05/2020,Madhya Pradesh,129060,116835,6170
23/05/2020,Madhya Pradesh,132769,121033,6371
24/05/2020,Madhya Pradesh,135889,124549,6665
25/05/2020,Madhya Pradesh,138584,128267,6859
26/05/2020,Madhya Pradesh,141508,131415,7024
27/05/2020,Madhya Pradesh,146144,134774,7261
28/05/2020,Madhya Pradesh,151182,138387,7453
29/05/2020,Madhya Pradesh,155436,142383,7645
30/05/2020,Madhya Pradesh,161552,146616,7891
31/05/2020,Madhya Pradesh,167808,151793,8089
1/06/2020,Madhya Pradesh,172019,157790,8283
2/06/2020,Madhya Pradesh,177481,163100,8420
3/06/2020,Madhya Pradesh,183662,168219,8588
4/06/2020,Madhya Pradesh,189252,173392,8762
5/06/2020,Madhya Pradesh,195249,179234,8996
6/06/2020,Madhya Pradesh,200913,184202,9228
7/06/2020,Madhya Pradesh,208514,190155,9401
8/06/2020,Madhya Pradesh,215194,196497,9638
9/06/2020,Madhya Pradesh,220936,203131,9849
10/06/2020,Madhya Pradesh,228042,210081,10049
11/06/2020,Madhya Pradesh,233740,217860,10241
12/06/2020,Madhya Pradesh,241461,224064,10443
13/06/2020,Madhya Pradesh,246973,231123,10641
14/06/2020,Madhya Pradesh,252762,236649,10802
15/06/2020,Madhya Pradesh,258040,242117,10935
16/06/2020,Madhya Pradesh,263983,247196,11083
17/06/2020,Madhya Pradesh,271205,253474,11244
18/06/2020,Madhya Pradesh,277451,260395,11426
5/04/2020,Maharashtra,16008,14837,
6/04/2020,Maharashtra,17563,15808,868
7/04/2020,Maharashtra,20877,19290,1018
9/04/2020,Maharashtra,20877,19290,868
10/04/2020,Maharashtra,30000,28865,1135
11/04/2020,Maharashtra,31841,30477,1761
12/04/2020,Maharashtra,35668,34094,1761
13/04/2020,Maharashtra,39725,37964,1996
14/04/2020,Maharashtra,41071,39089,2340
15/04/2020,Maharashtra,45142,42808,2690
16/04/2020,Maharashtra,50882,48198,2916
17/04/2020,Maharashtra,55678,52762,3204
18/04/2020,Maharashtra,60166,56964,3323
19/04/2020,Maharashtra,66796,63476,3651
20/04/2020,Maharashtra,71321,67673,4204
21/04/2020,Maharashtra,75838,71638,4676
22/04/2020,Maharashtra,82304,77638,5229
23/04/2020,Maharashtra,89197,83979,5218
24/04/2020,Maharashtra,95210,89561,6427
25/04/2020,Maharashtra,100912,94485,6817
